x
-1.32E+38
-8.89E+37
-1.60E+38
6.65E+37
-2.64E+37
-1.07E+38
-6.01E+37
-3.92E+37
-8.69E+37
-1.16E+38
-5.93E+37
-4.86E+37
-7.33E+37
-1.74E+37
-4.75E+37
-5.87E+37
-3.96E+37
3.61E+36
4.06E+37
-4.14E+37
-7.02E+37
-4.19E+37
-8.16E+37
-1.32E+38
-1.67E+37
4.88E+36
2.89E+37
-4.74E+37
-3.52E+37
-1.03E+38
1.62E+37
-1.95E+37
-6.39E+37
1.00E+37
3.54E+37
-1.01E+38
-1.34E+38
-4.79E+37
-7.52E+37
-3.94E+37
-3.39E+37
-5.05E+37
-4.07E+37
1.95E+37
-7.96E+37
-3.79E+37
-2.70E+37
-7.80E+37
-6.14E+37
7.58E+36
2.94E+37
7.06E+36
-2.85E+37
-9.02E+37
-1.48E+38
-4.42E+37
-4.79E+37
-8.04E+37
-9.18E+37
-6.48E+37
-5.85E+37
-3.00E+37
-9.36E+37
-3.34E+37
-9.47E+37
-1.67E+37
1.83E+37
1.74E+36
-8.24E+37
-1.18E+38
-1.39E+38
-2.40E+37
-1.18E+38
-1.35E+38
-3.01E+37
-2.42E+36
-4.42E+37
-5.66E+37
2.59E+37
-2.90E+37
-8.34E+37
-1.01E+38
-1.12E+38
-1.88E+37
-9.41E+37
-6.20E+37
-1.02E+38
-7.61E+37
-4.48E+37
-3.09E+37
-1.26E+38
-2.61E+37
-8.86E+37
-5.51E+37
-8.54E+36
-1.43E+37
-8.49E+37
-5.65E+37
-4.06E+37
-5.09E+37
3.61E+36
-1.13E+38
-4.17E+37
-1.55E+38
-2.74E+37
-5.99E+37
1.57E+37
-8.00E+37
-4.94E+37
-9.32E+37
-6.50E+36
-6.19E+37
-3.30E+35
-9.28E+37
-9.48E+37
-1.08E+38
-2.80E+37
-6.44E+37
-1.33E+38
-2.80E+37
-4.93E+37
-3.89E+37
-5.86E+37
-1.41E+37
-6.71E+37
-9.54E+37
-5.55E+37
-5.13E+37
-5.33E+37
-5.67E+37
-4.21E+37
-9.03E+37
-7.44E+37
-8.53E+37
-6.84E+37
-5.08E+37
-7.79E+37
-4.63E+37
-7.78E+37
-9.04E+36
-2.89E+37
-7.79E+37
5.31E+37
-9.05E+37
-9.12E+37
-9.16E+37
-4.15E+37
7.21E+36
-5.97E+37
-2.20E+37
-4.08E+37
7.20E+36
-9.46E+37
-1.27E+38
-4.67E+37
-6.94E+37
-6.92E+37
-1.14E+38
-4.11E+37
-6.40E+37
-5.80E+37
-8.66E+37
5.39E+36
-4.55E+37
-4.41E+36
-6.36E+37
1.16E+36
-5.74E+37
-1.41E+38
-7.02E+37
-6.68E+37
-8.06E+37
-5.66E+37
